Table 11,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,
"by State by State, Tribal, and Other Agencies, 2015",,,,,,,,,,,,,,
State,State/Tribal/Other Agencies,Unit/Office,"Violent crime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson3,
,,Berkshire County,7,0,0,,0,7,53,28,23,2,,
,,Dukes County,2,0,0,,0,2,0,0,0,0,,
,,Hampshire County,8,0,0,,0,8,1,0,1,0,,
,,Plymouth County,0,0,0,,0,0,0,0,0,0,,
MASSACHUSETTSÐTribal Agencies,Wampanoag Tribe of Gay Head,,0,0,0,,0,0,0,0,0,0,0,
MASSACHUSETTSÐOther Agencies,Massachusetts General Hospital,,13,0,0,,1,12,164,4,159,1,,
MICHIGANÐState Agencies,State Police:,Alcona County,3,0,3,,0,0,0,0,0,0,0,
,,Alger County,18,0,7,,0,11,32,17,15,0,0,
,,Allegan County,92,0,35,,4,53,216,60,132,24,0,
,,Alpena County,33,0,19,,1,13,153,30,120,3,3,
,,Antrim County,6,0,3,,0,3,29,4,22,3,1,
,,Arenac County,14,0,13,,0,1,6,2,4,0,0,
,,Baraga County,12,0,1,,0,11,26,8,17,1,1,
,,Barry County,41,0,16,,1,24,100,31,61,8,0,
,,Bay County,32,0,18,,3,11,190,60,113,17,1,
,,Benzie County,1,0,1,,0,0,6,1,5,0,0,
,,Berrien County,53,2,23,,4,24,157,51,91,15,1,
,,Branch County,44,1,15,,1,27,120,29,76,15,2,
,,Calhoun County,31,0,14,,1,16,113,49,52,12,1,
,,Cass County,14,0,3,,4,7,46,17,25,4,0,
,,Charlevoix County,11,0,4,,0,7,12,5,5,2,0,
,,Cheboygan County,11,0,7,,0,4,32,11,21,0,0,
,,Chippewa County,35,0,8,,0,27,57,31,21,5,1,
,,Clare County,19,0,14,,0,5,35,9,25,1,1,
,,Clinton County,9,0,6,,0,3,19,5,14,0,0,
,,Crawford County,6,0,4,,0,2,18,6,10,2,0,
,,Delta County,10,0,7,,0,3,48,8,34,6,0,
,,Dickinson County,12,0,5,,0,7,26,15,7,4,0,
,,Eaton County,19,0,12,,0,7,63,18,40,5,0,
,,Emmet County,17,0,8,,0,9,96,20,73,3,1,
,,Genesee County,100,0,30,,5,65,143,62,60,21,1,
,,Gladwin County,13,0,7,,0,6,26,9,14,3,1,
,,Gogebic County,9,0,4,,0,5,24,9,13,2,1,
,,Grand Traverse County,28,3,11,,0,14,43,7,36,0,1,
,,Gratiot County,24,0,10,,0,14,57,8,44,5,1,
,,Hillsdale County,38,0,19,,1,18,112,46,61,5,0,
,,Houghton County,24,0,14,,0,10,92,21,67,4,0,
,,Huron County,3,0,3,,0,0,2,0,2,0,0,
,,Ingham County,18,0,11,,0,7,65,20,40,5,1,
,,Ionia County,59,0,19,,1,39,142,27,104,11,1,
,,Iosco County,24,0,13,,0,11,168,84,74,10,3,
,,Iron County,10,1,0,,0,9,22,8,12,2,2,
,,Isabella County,49,0,20,,5,24,226,47,167,12,0,
,,Jackson County,69,0,28,,2,39,142,46,87,9,3,
,,Kalamazoo County,28,0,17,,0,11,52,8,41,3,1,
,,Kalkaska County,19,0,9,,1,9,51,15,31,5,0,
,,Kent County,11,0,10,,0,1,25,0,24,1,0,
,,Keweenaw County,0,0,0,,0,0,2,1,1,0,0,
,,Lake County,6,0,5,,0,1,13,2,10,1,1,
,,Lapeer County,23,0,16,,0,7,77,20,48,9,2,
,,Leelanau County,8,0,8,,0,0,5,1,4,0,0,
,,Lenawee County,52,1,26,,0,25,98,39,48,11,0,
,,Livingston County,62,0,21,,4,37,275,52,207,16,0,
,,Luce County,16,0,1,,1,14,33,7,24,2,0,
,,Mackinac County,7,0,5,,0,2,36,15,20,1,0,
,,Macomb County,41,1,11,,1,28,105,40,63,2,3,
,,Manistee County,21,0,6,,0,15,48,12,32,4,0,
,,Marquette County,49,3,14,,0,32,157,51,96,10,1,
,,Mason County,13,0,13,,0,0,40,12,27,1,1,
,,Mecosta County,8,0,5,,0,3,63,21,38,4,0,
,,Menominee County,11,1,1,,0,9,21,5,15,1,1,
,,Midland County,10,1,7,,0,2,19,3,14,2,0,
,,Missaukee County,3,0,2,,0,1,15,4,10,1,0,
,,Monroe County,59,0,23,,7,29,181,52,113,16,1,
,,Montcalm County,73,2,33,,0,38,173,69,96,8,0,
,,Montmorency County,4,1,1,,0,2,12,6,6,0,1,
,,Muskegon County,70,1,39,,3,27,251,70,165,16,2,
,,Newaygo County,41,1,16,,0,24,128,42,81,5,0,
,,Oakland County,92,2,19,,8,63,241,71,137,33,0,
,,Oceana County,28,0,12,,1,15,67,28,37,2,1,
,,Ogemaw County,25,0,12,,0,13,79,29,48,2,0,
,,Ontonagon County,8,0,3,,0,5,26,10,14,2,0,
,,Osceola County,24,0,13,,0,11,38,11,24,3,2,
,,Oscoda County,5,3,1,,0,1,3,1,2,0,0,
,,Otsego County,22,0,11,,0,11,124,41,79,4,1,
,,Ottawa County,7,0,2,,0,5,2,1,1,0,0,
,,Presque Isle County,1,0,0,,0,1,1,1,0,0,0,
,,Roscommon County,23,0,10,,0,13,78,15,59,4,1,
,,Saginaw County,96,0,36,,5,55,91,32,53,6,6,
,,Sanilac County,18,0,12,,1,5,44,18,25,1,0,
,,Schoolcraft County,17,2,13,,0,2,30,11,18,1,0,
,,Shiawassee County,77,1,38,,3,35,339,96,223,20,4,
,,St. Clair County,25,0,7,,1,17,67,25,34,8,1,
,,St. Joseph County,26,1,10,,0,15,144,51,71,22,2,
,,Tuscola County,35,1,22,,1,11,76,36,38,2,3,
,,Van Buren County,65,0,32,,2,31,183,60,111,12,1,
,,Washtenaw County,64,2,20,,1,41,126,55,54,17,0,
,,Wayne County,128,15,21,,5,87,176,7,134,35,0,
,,Wexford County,35,0,20,,1,14,210,53,151,6,1,
MICHIGANÐTribal Agencies,Bay Mills Tribal,,6,0,0,,0,6,2,1,1,0,0,
,Grand Traverse Tribal,,11,0,3,,0,8,21,2,19,0,0,
,Gun Lake Tribal,,0,0,0,,0,0,85,1,82,2,0,
,Hannahville Tribal,,17,0,4,,0,13,44,8,36,0,,
,Keweenaw Bay Tribal,,1,0,0,,0,1,36,3,31,2,0,
,Lac Vieux Desert Tribal,,1,0,0,,0,1,3,0,2,1,0,
,Little River Band of Ottawa Indians,,2,0,0,,0,2,16,2,14,0,0,
,Little Traverse Bay Bands of Odawa Indians,,5,0,0,,0,5,48,0,48,0,0,
,Nottawaseppi Huron Band of Potawatomi,,6,0,0,,0,6,85,5,78,2,0,
,Pokagon Tribal,,5,0,1,,0,4,106,1,105,0,0,
,Saginaw Chippewa Tribal,,28,0,12,,2,14,114,18,93,3,,
,Sault Ste. Marie Tribal,,5,0,4,,0,1,62,10,49,3,0,
MICHIGANÐOther Agencies,Capitol Region Airport Authority,,0,0,0,,0,0,6,0,3,3,0,
,Genesee County Parks and Recreation ,,0,0,0,,0,0,8,3,5,0,0,
,Gerald R. Ford International Airport,,0,0,0,,0,0,15,0,14,1,0,
,Huron-Clinton Metropolitan Authority:,Hudson Mills Metropark,0,0,0,,0,0,2,0,2,0,0,
,,Kensington Metropark,1,0,0,,0,1,14,0,14,0,0,
,,Lower Huron Metropark,0,0,0,,0,0,9,0,9,0,1,
,,Stony Creek Metropark,1,0,0,,0,1,16,0,16,0,0,
,Wayne County Airport,,5,0,0,,0,5,243,2,121,120,0,
MINNESOTAÐState Agencies,Capitol Security,St. Paul,0,0,0,,0,0,18,0,18,0,0,
,Department of Natural Resources Enforcement Division,,0,0,0,,0,0,0,0,0,0,0,
,Minnesota State Patrol,,0,0,0,,0,0,0,0,0,0,0,
,State Patrol: ,Brainerd,0,0,0,,0,0,0,0,0,0,0,
,,Detroit Lakes,0,0,0,,0,0,0,0,0,0,0,
,,Duluth,0,0,0,,0,0,0,0,0,0,0,
,,Golden Valley,0,0,0,,0,0,0,0,0,0,0,
,,Mankato,0,0,0,,0,0,0,0,0,0,0,
,,Marshall,0,0,0,,0,0,0,0,0,0,0,
,,Oakdale,0,0,0,,0,0,0,0,0,0,0,
,,Rochester,0,0,0,,0,0,0,0,0,0,0,
,,St. Cloud,0,0,0,,0,0,0,0,0,0,0,
,,Thief River Falls,0,0,0,,0,0,0,0,0,0,0,
,,Virginia,0,0,0,,0,0,0,0,0,0,0,
MINNESOTAÐTribal Agencies,Fond du Lac Tribal,,15,0,3,,0,12,231,29,185,17,1,
,Leech Lake Band of Ojibwe,,36,0,11,,2,23,31,9,17,5,,
,Lower Sioux Tribal,,28,1,1,,3,23,30,11,15,4,,
,Mille Lacs Tribal,,29,1,1,,4,23,324,61,250,13,19,
,Nett Lake Tribal,,5,0,0,,0,5,25,11,10,4,1,
,Red Lake Agency,,45,0,7,,1,37,104,19,66,19,,
MINNESOTAÐOther Agencies,Minneapolis-St. Paul International Airport,,1,0,0,,0,1,390,1,350,39,0,
,Three Rivers Park District,,2,0,1,,1,0,50,2,48,0,0,
MISSISSIPPIÐState Agencies,Department of Marine Resources,,1,0,,0,0,1,6,0,4,2,0,
,State Capitol Police,,1,0,,0,1,0,24,11,12,1,0,
MISSISSIPPIÐTribal Agencies,Choctaw Tribal,,94,1,7,,0,86,234,87,111,36,1,
MISSOURIÐState Agencies,Capitol Police,,1,0,0,,0,1,19,0,19,0,0,
,Department of Conservation,,0,0,0,,0,0,0,0,0,0,0,
,Department of Revenue,Compliance and Investigation Bureau,0,0,0,,0,0,0,0,0,0,0,
,Department of Social Services,State Technical Assistance Team,0,0,0,,0,0,0,0,0,0,0,
,Division of Alcohol and Tobacco Control,,0,0,0,,0,0,0,0,0,0,0,
,Gaming Commission,Enforcement Division,16,0,0,,3,13,218,2,203,13,0,
,State Fire Marshal,,0,0,0,,0,0,0,0,0,0,264,
,State Highway Patrol:,Jefferson City,14,0,0,,0,14,36,0,28,8,0,
,,Kirkwood,6,0,0,,0,6,8,0,3,5,0,
,,Lee's Summit,28,0,7,,0,21,10,0,1,9,0,
,,Macon,5,1,0,,0,4,5,0,1,4,0,
,,Poplar Bluff,10,0,2,,0,8,7,0,4,3,2,
,,Rolla,4,0,0,,0,4,2,0,0,2,0,
,,Springfield,4,0,0,,0,4,76,0,58,18,0,
,,St. Joseph,11,1,0,,0,10,9,0,3,6,0,
,,Willow Springs,1,0,0,,0,1,8,0,4,4,0,
,State Park Rangers,,4,0,0,,2,2,77,5,72,0,1,
MISSOURIÐOther Agencies,Clay County Drug Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Clay County Park Authority,,1,0,0,,0,1,14,0,14,0,1,
,Jackson County Drug Task Force,,0,0,0,,0,0,1,0,0,1,0,
,Jackson County Park Rangers,,0,0,0,,0,0,0,0,0,0,0,
,Kansas City International Airport,,5,0,0,,0,5,109,2,105,2,0,
,Lambert-St. Louis International Airport,,7,0,0,,3,4,127,1,123,3,0,
,Platte County Multi-Jurisdictional Enforcement Group,,0,0,0,,0,0,0,0,0,0,0,
,Springfield-Branson Airport,,0,0,0,,0,0,12,0,3,9,0,
,Springfield-Greene County Park Rangers,,0,0,0,,0,0,9,3,6,0,0,
,St. Charles County Park Rangers,,1,0,0,,0,1,3,1,2,0,0,
,Terminal Railroad ,,0,0,0,,0,0,0,0,0,0,0,
,Western Missouri Cyber Crimes Task Force,,0,0,0,,0,0,0,0,0,0,0,
MONTANAÐTribal Agencies,Crow Agency,,55,3,7,,0,45,140,29,64,47,3,
,Fort Belknap Tribal,,22,1,5,,0,16,58,16,36,6,0,
,Fort Peck Assiniboine and Sioux Tribes,,80,0,15,,1,64,37,14,15,8,0,
,Northern Cheyenne Agency,,46,0,7,,0,39,49,21,19,9,3,
,Rocky Boys Tribal,,84,0,8,,6,70,185,55,112,18,4,
NEBRASKAÐState Agencies,Nebraska State Patrol,,2,0,,0,0,2,16,0,16,0,0,
,State Patrol: ,Adams County,0,0,,0,0,0,1,0,1,0,0,
,,Antelope County,0,0,,0,0,0,0,0,0,0,0,
,,Arthur County,0,0,,0,0,0,0,0,0,0,0,
,,Banner County,0,0,,0,0,0,0,0,0,0,0,
,,Blaine County,0,0,,0,0,0,0,0,0,0,0,
,,Boone County,0,0,,0,0,0,0,0,0,0,0,
,,Box Butte County,0,0,,0,0,0,1,1,0,0,0,
,,Boyd County,0,0,,0,0,0,0,0,0,0,0,
,,Brown County,0,0,,0,0,0,0,0,0,0,0,
,,Buffalo County,0,0,,0,0,0,0,0,0,0,0,
,,Burt County,0,0,,0,0,0,0,0,0,0,0,
,,Butler County,0,0,,0,0,0,0,0,0,0,0,
,,Cass County,0,0,,0,0,0,0,0,0,0,0,
,,Cedar County,0,0,,0,0,0,0,0,0,0,0,
,,Chase County,0,0,,0,0,0,0,0,0,0,0,
,,Cherry County,0,0,,0,0,0,0,0,0,0,0,
,,Cheyenne County,0,0,,0,0,0,0,0,0,0,0,
,,Clay County,0,0,,0,0,0,1,0,0,1,0,
,,Colfax County,0,0,,0,0,0,1,0,1,0,0,
,,Cuming County,0,0,,0,0,0,0,0,0,0,0,
,,Custer County,0,0,,0,0,0,0,0,0,0,0,
,,Dakota County,0,0,,0,0,0,0,0,0,0,0,
,,Dawes County,0,0,,0,0,0,0,0,0,0,0,
,,Dawson County,0,0,,0,0,0,0,0,0,0,0,
,,Deuel County,0,0,,0,0,0,0,0,0,0,0,
,,Dixon County,0,0,,0,0,0,0,0,0,0,0,
,,Dodge County,0,0,,0,0,0,0,0,0,0,0,
,,Douglas County,0,0,,0,0,0,2,0,2,0,0,
,,Dundy County,0,0,,0,0,0,0,0,0,0,0,
,,Fillmore County,0,0,,0,0,0,0,0,0,0,0,
,,Franklin County,0,0,,0,0,0,0,0,0,0,0,
,,Frontier County,0,0,,0,0,0,0,0,0,0,0,
,,Furnas County,0,0,,0,0,0,1,0,1,0,0,
,,Gage County,0,0,,0,0,0,0,0,0,0,0,
,,Garden County,0,0,,0,0,0,0,0,0,0,0,
,,Garfield County,0,0,,0,0,0,0,0,0,0,0,
,,Gosper County,0,0,,0,0,0,0,0,0,0,0,
,,Grant County,0,0,,0,0,0,3,3,0,0,0,
,,Greeley County,0,0,,0,0,0,0,0,0,0,0,
,,Hall County,0,0,,0,0,0,5,1,4,0,0,
,,Hamilton County,0,0,,0,0,0,2,0,2,0,0,
,,Harlan County,0,0,,0,0,0,0,0,0,0,0,
,,Hayes County,0,0,,0,0,0,0,0,0,0,0,
,,Hitchcock County,0,0,,0,0,0,0,0,0,0,0,
,,Holt County,0,0,,0,0,0,0,0,0,0,0,
,,Hooker County,0,0,,0,0,0,0,0,0,0,0,
,,Howard County,0,0,,0,0,0,0,0,0,0,0,
,,Jefferson County,0,0,,0,0,0,0,0,0,0,0,
,,Johnson County,0,0,,0,0,0,0,0,0,0,0,
,,Kearney County,0,0,,0,0,0,0,0,0,0,0,
,,Keith County,0,0,,0,0,0,0,0,0,0,0,
,,Keya Paha County,0,0,,0,0,0,0,0,0,0,0,
,,Kimball County,0,0,,0,0,0,0,0,0,0,0,
,,Knox County,0,0,,0,0,0,0,0,0,0,0,
,,Lancaster County,0,0,,0,0,0,4,0,2,2,0,
,,Lincoln County,0,0,,0,0,0,1,0,0,1,0,
,,Logan County,0,0,,0,0,0,0,0,0,0,0,
,,Loup County,0,0,,0,0,0,0,0,0,0,0,
,,Madison County,0,0,,0,0,0,2,2,0,0,0,
,,McPherson County,0,0,,0,0,0,0,0,0,0,0,
,,Merrick County,0,0,,0,0,0,0,0,0,0,0,
,,Morrill County,0,0,,0,0,0,1,0,1,0,0,
,,Nance County,0,0,,0,0,0,0,0,0,0,0,
,,Nemaha County,0,0,,0,0,0,0,0,0,0,0,
,,Nuckolls County,0,0,,0,0,0,0,0,0,0,0,
,,Otoe County,0,0,,0,0,0,1,0,1,0,0,
,,Pawnee County,0,0,,0,0,0,0,0,0,0,0,
,,Perkins County,0,0,,0,0,0,0,0,0,0,0,
,,Phelps County,0,0,,0,0,0,0,0,0,0,0,
,,Pierce County,1,1,,0,0,0,1,1,0,0,0,
,,Platte County,0,0,,0,0,0,1,0,1,0,0,
,,Polk County,0,0,,0,0,0,0,0,0,0,0,
,,Red Willow County,0,0,,0,0,0,0,0,0,0,0,
,,Richardson County,0,0,,0,0,0,0,0,0,0,0,
,,Rock County,0,0,,0,0,0,0,0,0,0,0,
,,Saline County,0,0,,0,0,0,0,0,0,0,0,
,,Sarpy County,0,0,,0,0,0,0,0,0,0,0,
,,Saunders County,0,0,,0,0,0,0,0,0,0,0,
,,Scotts Bluff County,0,0,,0,0,0,1,0,0,1,0,
,,Seward County,0,0,,0,0,0,0,0,0,0,0,
,,Sheridan County,0,0,,0,0,0,0,0,0,0,0,
,,Sherman County,0,0,,0,0,0,0,0,0,0,0,
,,Sioux County,0,0,,0,0,0,0,0,0,0,0,
,,Stanton County,0,0,,0,0,0,0,0,0,0,0,
,,Thayer County,0,0,,0,0,0,0,0,0,0,0,
,,Thomas County,0,0,,0,0,0,1,0,1,0,0,
,,Thurston County,0,0,,0,0,0,0,0,0,0,0,
,,Valley County,0,0,,0,0,0,0,0,0,0,0,
,,Washington County,0,0,,0,0,0,0,0,0,0,0,
,,Wayne County,0,0,,0,0,0,2,1,1,0,0,
,,Webster County,0,0,,0,0,0,0,0,0,0,0,
,,Wheeler County,0,0,,0,0,0,0,0,0,0,0,
,,York County,0,0,,0,0,0,1,0,0,1,0,
NEVADAÐState Agencies,Department of Public Safety,Investigative Division,0,0,0,,0,0,0,0,0,0,0,
,Nevada Highway Patrol,,0,0,0,,0,0,0,0,0,0,0,
,State Fire Marshal,,0,0,0,,0,0,0,0,0,0,0,
NEVADAÐTribal Agencies,Moapa Tribal,,4,0,0,,0,4,15,4,11,0,0,
,Pyramid Lake Tribal,,19,0,2,,0,17,29,10,18,1,,
,Reno-Sparks Indian Colony,,0,0,0,,0,0,227,0,227,0,,
,South Fork Band Tribal,,3,0,0,,0,3,1,1,0,0,0,
,Washoe Tribal,,21,0,0,,0,21,49,19,21,9,,
,Western Nevada Agency,,9,0,0,,0,9,5,2,0,3,,
,Yomba Shoshone Tribal,,0,0,0,,0,0,0,0,0,0,0,
NEVADAÐOther Agencies,Clark County School District,,155,0,15,,25,115,"1,305",227,"1,043",35,26,
,Humboldt County School District,,0,0,0,,0,0,0,0,0,0,0,
,Las Vegas Fire and Rescue,Arson Bomb Unit,0,0,0,,0,0,0,0,0,0,66,
,North Las Vegas Fire Department Arson Investigations,,0,0,0,,0,0,0,0,0,0,97,
,Reno Tahoe Airport Authority,,2,0,0,,0,2,36,6,26,4,0,
,Washoe County School District,,14,0,0,,2,12,132,29,102,1,0,
NEW HAMPSHIREÐState Agencies,Liquor Commission,,0,0,0,,0,0,1,0,1,0,0,
,State Police:,Belknap County,0,0,0,,0,0,2,0,1,1,0,
,,Carroll County,3,0,1,,0,2,10,3,6,1,0,
,,Cheshire County,13,0,1,,1,11,47,23,24,0,1,
,,Coos County,7,0,1,,0,6,69,33,31,5,1,
,,Grafton County,3,0,0,,0,3,58,20,35,3,0,
,,Hillsborough County,9,0,2,,0,7,5,0,5,0,0,
,,Merrimack County,3,0,0,,1,2,26,6,18,2,0,
,,Rockingham County,5,0,0,,0,5,6,1,3,2,0,
,,Strafford County,1,0,0,,0,1,2,0,2,0,0,
,,Sullivan County,5,0,2,,1,2,22,9,12,1,0,
NEW JERSEYÐState Agencies5,New Jersey Transit Police,,54,0,0,,38,16,369,7,355,7,0,
,Palisades Interstate Parkway,,1,0,0,,0,1,4,0,4,0,0,
,Port Authority of New York and New Jersey,,34,0,0,,12,22,383,6,362,15,0,
,State Police:,Atlantic County,37,0,5,,8,24,657,73,575,9,2,
,,Bergen County,19,1,0,,4,14,79,5,70,4,0,
,,Burlington County,46,0,12,,10,24,373,117,241,15,3,
,,Cape May County,26,0,4,,2,20,210,71,131,8,3,
,,Cumberland County,88,2,21,,21,44,816,273,525,18,11,
,,Essex County,5,0,0,,2,3,10,0,8,2,0,
,,Hunterdon County,16,0,3,,1,12,139,52,83,4,1,
,,Mercer County,12,0,3,,2,7,66,6,58,2,1,
,,Middlesex County,6,0,0,,3,3,37,1,34,2,0,
,,Monmouth County,18,0,4,,3,11,138,54,79,5,1,
,,Ocean County,5,0,1,,0,4,48,8,38,2,0,
,,Salem County,48,1,12,,4,31,365,146,214,5,1,
,,Sussex County,43,0,12,,5,26,316,66,237,13,1,
,,Warren County,14,0,0,,4,10,146,47,89,10,0,
,Park Police:,Morris County,0,0,0,,0,0,15,1,14,0,0,
,,Union County,68,0,0,,7,61,34,3,30,1,0,
NEW JERSEYÐOther Agencies5,Prosecutor:,Atlantic County,0,0,0,,0,0,0,0,0,0,0,
,,Bergen County,0,0,0,,0,0,0,0,0,0,0,
,,Burlington County,0,0,0,,0,0,0,0,0,0,0,
,,Camden County,0,0,0,,0,0,0,0,0,0,0,
,,Cape May County,0,0,0,,0,0,0,0,0,0,0,
,,Cumberland County,0,0,0,,0,0,0,0,0,0,0,
,,Essex County,0,0,0,,0,0,0,0,0,0,0,
,,Gloucester County,0,0,0,,0,0,0,0,0,0,0,
,,Hudson County,0,0,0,,0,0,0,0,0,0,0,
,,Hunterdon County,0,0,0,,0,0,0,0,0,0,0,
,,Mercer County,0,0,0,,0,0,0,0,0,0,0,
,,Middlesex County,0,0,0,,0,0,0,0,0,0,0,
,,Monmouth County,0,0,0,,0,0,0,0,0,0,0,
,,Morris County,0,0,0,,0,0,0,0,0,0,0,
,,Ocean County,0,0,0,,0,0,0,0,0,0,0,
,,Passaic County,0,0,0,,0,0,0,0,0,0,0,
,,Salem County,0,0,0,,0,0,0,0,0,0,0,
,,Somerset County,0,0,0,,0,0,0,0,0,0,0,
,,Sussex County,0,0,0,,0,0,0,0,0,0,0,
,,Union County,0,0,0,,0,0,0,0,0,0,0,
,,Warren County,0,0,0,,0,0,0,0,0,0,0,
NEW MEXICOÐState Agencies,Motor Transportation Police,,8,0,,1,0,7,15,3,6,6,,
,New Mexico State Police,,569,8,,45,14,502,675,167,357,151,,
NEW MEXICOÐTribal Agencies,Acoma Tribal,,11,1,0,,1,9,17,11,6,0,0,
,Jicarilla Apache Tribal,,11,0,0,,0,11,0,0,0,0,,
,Laguna Tribal,,52,0,9,,5,38,75,21,44,10,3,
,Mescalero Tribal,,41,0,5,,0,36,27,12,13,2,1,
,Ramah Navajo Tribal,,2,1,1,,0,0,0,0,0,0,0,
,Santa Ana Tribal,,15,0,0,,0,15,46,5,35,6,0,
,Santa Clara Pueblo,,11,0,1,,2,8,32,8,20,4,0,
,Southern Pueblos Agency,,19,0,0,,0,19,34,11,20,3,,
,Taos Pueblo,,4,0,0,,1,3,8,8,0,0,0,
,Tesuque Pueblo,,7,0,0,,0,7,0,0,0,0,0,
,Zuni Tribal,,16,0,1,,1,14,5,3,2,0,0,
NEW YORKÐState Agencies,State Park:,Allegany Region,1,0,1,,0,0,9,2,7,0,0,
,,Central Region,1,0,1,,0,0,29,2,27,0,0,
,,Finger Lakes Region,0,0,0,,0,0,36,0,35,1,0,
,,Genesee Region,0,0,0,,0,0,14,2,12,0,0,
,,Niagara Region,4,0,0,,3,1,38,2,33,3,0,
,,Palisades Region,0,0,0,,0,0,18,1,17,0,1,
,,Saratoga/Capital Region,0,0,0,,0,0,12,0,12,0,0,
,,Taconic Region,1,0,0,,0,1,24,1,23,0,0,
,State Police:,Albany County ,12,0,7,,0,5,136,8,124,4,0,
,,Allegany County ,38,0,24,,0,14,244,63,172,9,3,
,,Broome County ,86,0,52,,16,18,544,132,393,19,1,
,,Cattaraugus County ,35,0,22,,1,12,264,55,199,10,2,
,,Cayuga County ,39,0,21,,0,18,164,47,111,6,1,
,,Chautauqua County ,27,0,12,,2,13,146,36,107,3,0,
,,Chemung County ,51,1,23,,1,26,272,37,227,8,0,
,,Chenango County ,47,0,32,,0,15,160,49,102,9,1,
,,Clinton County ,70,0,47,,2,21,876,129,725,22,2,
,,Columbia County ,44,2,24,,2,16,189,59,123,7,2,
,,Cortland County ,6,0,3,,0,3,120,16,102,2,1,
,,Delaware County ,38,0,23,,4,11,195,43,142,10,1,
,,Duchess County ,125,2,37,,4,82,477,91,374,12,1,
,,Erie County ,43,0,28,,1,14,246,34,205,7,0,
,,Essex County ,36,0,23,,1,12,248,81,160,7,1,
,,Franklin County ,50,0,36,,1,13,361,84,268,9,2,
,,Fulton County ,29,0,18,,3,8,79,21,56,2,0,
,,Genesee County ,12,0,7,,1,4,132,14,115,3,0,
,,Greene County ,95,0,31,,3,61,280,96,177,7,3,
,,Hamilton County ,2,0,2,,0,0,31,13,17,1,0,
,,Herkimer County ,23,0,10,,0,13,240,75,147,18,3,
,,Jefferson County ,47,0,30,,0,17,663,112,536,15,7,
,,Lewis County ,11,0,9,,0,2,107,42,63,2,0,
,,Livingston County ,17,0,8,,0,9,45,7,35,3,0,
,,Madison County ,39,0,27,,2,10,155,35,113,7,3,
,,Monroe County ,16,0,15,,0,1,58,1,54,3,0,
,,Montgomery County ,24,0,18,,0,6,109,18,86,5,0,
,,Nassau County ,6,0,0,,0,6,10,0,8,2,1,
,,New York County ,5,0,2,,1,2,8,0,8,0,0,
,,Niagara County ,27,0,10,,3,14,227,31,187,9,1,
,,Oneida County ,124,0,49,,5,70,499,121,349,29,3,
,,Onondaga County ,61,0,32,,7,22,771,96,646,29,0,
,,Ontario County ,24,0,15,,2,7,244,47,192,5,3,
,,Orange County ,137,2,84,,8,43,843,86,731,26,3,
,,Orleans County ,19,0,4,,0,15,67,19,44,4,0,
,,Oswego County ,111,2,76,,6,27,655,172,454,29,8,
,,Otsego County ,44,1,30,,0,13,364,50,304,10,1,
,,Putnam County ,9,0,2,,0,7,70,15,48,7,0,
,,Rensselaer County ,37,0,26,,2,9,455,107,324,24,2,
,,Rockland County ,17,0,12,,1,4,15,0,15,0,2,
,,Saratoga County ,91,0,47,,6,38,774,66,689,19,3,
,,Schenectady County ,8,0,3,,1,4,62,6,52,4,0,
,,Schoharie County ,23,1,9,,0,13,133,40,83,10,1,
,,Schuyler County ,8,0,7,,1,0,32,6,26,0,1,
,,Seneca County ,26,0,9,,0,17,127,26,99,2,0,
,,Steuben County ,84,0,45,,5,34,548,81,451,16,6,
,,St. Lawrence County ,69,1,42,,4,22,422,126,286,10,9,
,,Suffolk County ,18,0,11,,3,4,38,6,28,4,0,
,,Sullivan County ,81,0,51,,2,28,337,126,200,11,1,
,,Tioga County ,20,0,14,,1,5,93,20,68,5,0,
,,Tompkins County ,50,0,24,,6,20,240,60,171,9,3,
,,Ulster County ,90,0,54,,2,34,473,99,358,16,2,
,,Warren County ,35,0,24,,2,9,194,18,170,6,3,
,,Washington County ,25,0,5,,0,20,133,25,102,6,2,
,,Wayne County ,77,0,48,,5,24,491,145,323,23,5,
,,Westchester County ,76,1,25,,8,42,405,56,326,23,4,
,,Wyoming County ,27,2,4,,0,21,21,4,17,0,0,
,,Yates County ,5,0,3,,0,2,17,5,12,0,0,
NEW YORKÐTribal Agencies,Oneida Indian Nation,,8,0,0,,3,5,204,1,203,0,0,
,St. Regis Tribal,,8,0,1,,3,4,40,16,19,5,3,
NEW YORKÐOther Agencies,New York City Department of Environmental Protection Police:,Delaware County,0,0,,0,0,0,0,0,0,0,0,
,,Schoharie County ,0,0,,0,0,0,0,0,0,0,0,
,,Sullivan County,0,0,,0,0,0,0,0,0,0,0,
,,Ulster County,0,0,,0,0,0,3,0,3,0,0,
,,"Westchester County, Croton-Kensico",0,0,,0,0,0,2,0,2,0,1,
,,"Westchester County, Hillview",0,0,,0,0,0,0,0,0,0,0,
,Onondaga County Parks,,0,0,,0,0,0,19,2,17,0,0,
